Species	Sample	Raw_abund	Rel_abund
species_140	S8_BML	7	0.627803
species_140	S8_SRF	4	0.538358
species_141	S10_BML	1	0.0595948
species_141	S25_BML	2	0.196271
species_141	S25_SRF	2	0.186741
species_141	S26_BML	1	0.114025
species_141	S26_SRF	1	0.0873362
species_141	S8_BML	2	0.179372
species_141	S8_SRF	1	0.13459
species_142	S10_BML	1	0.0595948
species_142	S26_BML	1	0.114025
species_142	S8_BML	4	0.358744
species_142	S8_SRF	2	0.269179
species_143	S10_BML	1	0.0595948
species_143	S26_BML	1	0.114025
species_144	S25_BML	1	0.0981354
species_145	S10_BML	5	0.297974
species_145	S10_SRF	2	0.1207
species_145	S26_SRF	2	0.174672
species_145	S8_BML	2	0.179372
species_145	S8_SRF	1	0.13459
species_146	S25_SRF	1	0.0933707
species_147	S10_BML	1	0.0595948
species_147	S10_SRF	1	0.06035
species_147	S25_BML	1	0.0981354
species_147	S25_SRF	1	0.0933707
species_147	S8_SRF	2	0.269179
species_148	S26_SRF	1	0.0873362
species_149	S25_BML	1	0.0981354
species_15	S25_SRF	1	0.0933707
species_15	S8_SRF	1	0.13459
species_150	S25_BML	1	0.0981354
species_150	S26_BML	1	0.114025
species_150	S8_BML	1	0.0896861
species_150	S8_SRF	2	0.269179
species_151	S25_BML	1	0.0981354
species_151	S26_BML	1	0.114025
species_151	S8_BML	1	0.0896861
species_152	S10_SRF	1	0.06035
species_153	S25_BML	1	0.0981354
species_154	S10_BML	1	0.0595948
species_155	S8_BML	2	0.179372
species_156	S10_BML	3	0.178784
species_156	S10_SRF	3	0.18105
species_157	S26_BML	1	0.114025
species_158	S8_SRF	1	0.13459
species_159	S26_SRF	1	0.0873362
species_16	S8_BML	1	0.0896861
species_160	S10_BML	4	0.238379
species_160	S10_SRF	2	0.1207
species_160	S25_BML	3	0.294406
species_160	S25_SRF	14	1.30719
species_160	S26_BML	6	0.684151
species_160	S26_SRF	9	0.786026
species_160	S8_BML	4	0.358744
species_160	S8_SRF	2	0.269179
species_161	S25_BML	1	0.0981354
species_161	S26_BML	1	0.114025
species_162	S10_BML	1	0.0595948
species_163	S10_BML	3	0.178784
species_163	S10_SRF	3	0.18105
species_163	S25_SRF	1	0.0933707
species_164	S10_BML	1	0.0595948
species_165	S10_BML	2	0.11919
species_165	S25_SRF	3	0.280112
species_165	S26_BML	1	0.114025
species_165	S26_SRF	1	0.0873362
species_165	S8_BML	2	0.179372
species_165	S8_SRF	1	0.13459
species_166	S10_BML	1	0.0595948
species_166	S10_SRF	1	0.06035
species_166	S25_SRF	5	0.466853
species_166	S26_BML	4	0.4561
species_166	S26_SRF	7	0.611354
species_166	S8_BML	8	0.717489
species_166	S8_SRF	5	0.672948
species_167	S8_BML	1	0.0896861
species_168	S10_BML	28	1.66865
species_168	S10_SRF	10	0.6035
species_168	S25_BML	9	0.883219
species_168	S25_SRF	18	1.68067
species_168	S26_BML	30	3.42075
species_168	S26_SRF	31	2.70742
species_168	S8_BML	25	2.24215
species_168	S8_SRF	12	1.61507
species_169	S10_SRF	1	0.06035
species_17	S10_SRF	1	0.06035
species_170	S26_SRF	1	0.0873362
species_171	S26_BML	1	0.114025
species_172	S26_BML	1	0.114025
species_173	S8_SRF	1	0.13459
species_174	S10_BML	1	0.0595948
species_174	S10_SRF	1	0.06035
species_175	S8_BML	1	0.0896861
species_176	S10_SRF	1	0.06035
species_176	S25_BML	11	1.07949
species_176	S25_SRF	2	0.186741
species_176	S26_BML	2	0.22805
species_176	S8_SRF	1	0.13459
species_177	S26_BML	1	0.114025
species_178	S10_BML	1	0.0595948
species_179	S26_SRF	1	0.0873362
species_179	S8_BML	1	0.0896861
species_18	S8_BML	1	0.0896861
species_18	S8_SRF	1	0.13459
species_180	S10_BML	1	0.0595948
species_181	S25_SRF	2	0.186741
species_182	S8_SRF	1	0.13459
species_183	S25_BML	1	0.0981354
species_184	S10_BML	1	0.0595948
species_185	S26_BML	1	0.114025
species_186	S10_BML	3	0.178784
species_186	S25_BML	2	0.196271
species_186	S25_SRF	4	0.373483
species_186	S26_BML	1	0.114025
species_186	S8_BML	3	0.269058
species_186	S8_SRF	5	0.672948
